Package                                  Version         Latest          Type
tensorboard                              2.16.2          2.19.0          wheel
tensorflow                               2.16.0rc0       2.18.0          wheel
tensorflow-intel                         2.16.0rc0       2.18.0          wheel
termcolor                                2.4.0           2.5.0           wheel
threadpoolctl                            3.4.0           3.5.0           wheel
timer                                    0.2.2           0.3.0           wheel
tokenizers                               0.19.1          0.21.0          wheel
torch                                    2.3.0           2.6.0           wheel
tornado                                  6.4             6.4.2           wheel
tqdm                                     4.66.2          4.67.1          wheel
traitlets                                5.14.1          5.14.3          wheel
transformers                             4.40.2          4.49.0          wheel
trio                                     0.24.0          0.29.0          wheel
trio-websocket                           0.11.1          0.12.2          wheel
typer                                    0.12.5          0.15.2          wheel
types-requests                           2.32.0.20240914 2.32.0.20250306 wheel
typing_extensions                        4.10.0          4.12.2          wheel
unstructured                             0.15.14         0.16.25         wheel
unstructured-client                      0.26.1          0.31.1          wheel
urllib3                                  1.26.20         2.3.0           wheel
uvicorn                                  0.31.1          0.34.0          wheel
w3lib                                    2.2.1           2.3.1           wheel
watchfiles                               0.24.0          1.0.4           wheel
websockets                               10.4            15.0.1          wheel
Werkzeug                                 3.0.1           3.1.3           wheel
wheel                                    0.42.0          0.45.1          wheel
wrapt                                    1.16.0          1.17.2          wheel
yarl                                     1.9.4           1.18.3          wheel
zeroconf                                 0.132.2         0.146.1         wheel
zipp                                     3.20.2          3.21.0          wheel
